If you like our site, please consider disabling ads blocker and support wows-numbers.com. Ads = better and faster server, more data from game, more new features in the future.;;;;;;;;;;
Type:ÿÿÿÿAll |ÿÿDestroyerÿÿAircraft CarrierÿÿBattleshipÿÿCruiserÿTier:ÿÿÿ;;;;;;;;;;
;;;;;;;;;;
Nation:ÿÿÿÿAll |ÿÿCommonwealthÿÿnation_europeÿÿItalyÿÿU.S.A.ÿÿPan-AsiaÿÿFranceÿÿU.S.S.R.ÿÿGermanyÿÿU.K.ÿÿJapanÿÿPan-America;;;;;;;;;;
Consumables:ÿÿÿÿSpotting AircraftÿÿCatapult FighterÿÿRepair PartyÿÿSmoke GeneratorÿÿEngine BoostÿÿTorpedo Tubes Reload SystemÿÿHydroacoustic SearchÿÿDefensive Anti-Aircraft FireÿÿSurveillance Radar;;;;;;;;;;
Show only:ÿÿPremium ShipsÿÿRegular Ships;;;;;;;;;;
;;;;;;;;;;
Warship;Tier;Type;Nation;Battles;Win rate;Avg. frags;Avg. damage;Avg. experience;Avg. planes destroyed;Kills / deaths
Bismarck;8;Battleship;Germany;12 629 624;50,53%;0,67;51 561;1 244;1,95;1,1
Cleveland (<31.05.2018);6;Cruiser;U.S.A.;10 406 017;50,56%;0,67;28 064;947;2,37;1,04
New Mexico;6;Battleship;U.S.A.;9 704 317;50,32%;0,74;39 523;1 037;1,01;1,45
Nrnberg;6;Cruiser;Germany;9 625 374;49,47%;0,55;25 510;957;0,57;0,79
Gneisenau;7;Battleship;Germany;9 262 555;50,42%;0,74;44 392;1 122;2,4;1,26
North Carolina;8;Battleship;U.S.A.;9 194 584;49,34%;0,67;50 996;1 246;2,7;1,21
K”nigsberg;5;Cruiser;Germany;8 667 870;50,75%;0,64;24 578;839;0,37;0,93
Wyoming;4;Battleship;U.S.A.;8 330 917;50,22%;0,76;29 985;686;0,71;1,37
Shimakaze;10;Destroyer;Japan;8 327 225;49,02%;0,75;46 684;1 452;0,44;1,29
Fus?;6;Battleship;Japan;8 236 278;51,19%;0,81;44 139;1 078;0,95;1,66
Omaha;5;Cruiser;U.S.A.;8 172 091;49,91%;0,65;24 586;853;0,86;0,9
New York;5;Battleship;U.S.A.;7 993 691;48,77%;0,63;30 578;850;0,71;1,17
Colorado;7;Battleship;U.S.A.;7 859 162;49,31%;0,72;45 666;1 142;1,29;1,41
Bayern;6;Battleship;Germany;7 586 120;50,17%;0,71;39 609;1 001;1,27;1,33
Yamato;10;Battleship;Japan;7 467 239;48,85%;0,78;85 241;1 709;2,15;1,38
Yorck;7;Cruiser;Germany;7 106 903;49,46%;0,57;30 079;1 100;0,94;0,9
K”nig;5;Battleship;Germany;7 098 742;51,39%;0,77;36 866;887;1,35;1,47
Minekaze;5;Destroyer;Japan;6 982 123;50,74%;0,82;25 277;858;0,08;1,25
Nagato;7;Battleship;Japan;6 832 655;49,54%;0,73;47 784;1 184;1,18;1,39
Kong?;5;Battleship;Japan;6 637 248;50,06%;0,68;33 058;876;1,27;1,34
Groáer Kurfrst;10;Battleship;Germany;6 594 086;49,87%;0,81;78 991;1 534;2,24;1,35
Admiral Hipper;8;Cruiser;Germany;6 300 687;49,58%;0,5;35 122;1 250;1,4;0,79
Furutaka;5;Cruiser;Japan;6 094 429;49,65%;0,55;21 439;815;0,48;0,79
Amagi;8;Battleship;Japan;6 090 263;51,23%;0,74;56 127;1 306;1,95;1,45
Isokaze;4;Destroyer;Japan;5 920 471;50,72%;0,83;22 588;681;0,07;1,23
Montana;10;Battleship;U.S.A.;5 878 648;49,11%;0,83;81 026;1 663;2,77;1,54
Aoba;6;Cruiser;Japan;5 839 835;50,60%;0,61;27 398;1 030;1,22;0,94
My?k?;7;Cruiser;Japan;5 837 930;50,97%;0,69;35 813;1 161;1,36;1,13
Iowa;9;Battleship;U.S.A.;5 700 563;48,69%;0,64;58 173;1 334;2,5;1,1
Mogami;8;Cruiser;Japan;5 618 160;50,40%;0,64;40 412;1 288;1,12;1,02
Hindenburg;10;Cruiser;Germany;5 577 010;48,74%;0,72;72 112;1 616;1,93;1,33
St.ÿLouis;3;Cruiser;U.S.A.;5 360 689;51,45%;0,79;21 397;570;0;1,23
My?gi;4;Battleship;Japan;5 323 130;48,74%;0,59;24 718;663;0,67;1,09
Pensacola (<31.05.2018);7;Cruiser;U.S.A.;5 191 189;48,35%;0,55;28 306;1 074;1,35;0,84
Phoenix;4;Cruiser;U.S.A.;5 092 914;49,57%;0,61;20 697;694;0,2;0,85
Kuma;4;Cruiser;Japan;5 058 315;51,40%;0,75;23 704;707;0,34;1,04
Friedrich der Groáe;9;Battleship;Germany;4 993 380;48,58%;0,59;54 758;1 274;1,65;0,96
Za?;10;Cruiser;Japan;4 917 682;49,16%;0,8;76 724;1 610;1,79;1,62
Des Moines;10;Cruiser;U.S.A.;4 879 031;49,76%;0,8;66 166;1 679;2,84;1,29
Fiji;7;Cruiser;U.K.;4 810 347;52,31%;0,87;41 041;1 279;1,13;1,47
Akatsuki;7;Destroyer;Japan;4 765 166;49,48%;0,66;26 250;1 071;0,42;0,98
Farragut;6;Destroyer;U.S.A.;4 734 666;50,54%;0,61;20 428;1 029;0,32;0,87
Kaiser;4;Battleship;Germany;4 686 052;51,71%;0,9;35 435;694;1,2;1,76
Nicholas;5;Destroyer;U.S.A.;4 663 134;49,10%;0,64;18 386;864;0,45;0,83
Mahan;7;Destroyer;U.S.A.;4 650 821;50,13%;0,62;23 194;1 217;0,23;0,9
Benson;8;Destroyer;U.S.A.;4 556 825;51,24%;0,67;29 191;1 346;0,57;1,05
Karlsruhe;4;Cruiser;Germany;4 521 541;49,65%;0,54;16 848;592;0,07;0,73
Gearing;10;Destroyer;U.S.A.;4 431 636;49,21%;0,74;45 437;1 543;0,99;1,16
Fletcher;9;Destroyer;U.S.A.;4 257 472;50,90%;0,72;36 629;1 441;0,84;1,14
Leander;6;Cruiser;U.K.;4 195 479;52,33%;0,76;31 068;1 078;0,97;1,23
Clemson;4;Destroyer;U.S.A.;4 165 855;50,74%;0,79;19 652;677;0,04;1,04
Kager?;8;Destroyer;Japan;4 155 410;49,57%;0,62;29 297;1 247;0,17;0,98
Budyonny;6;Cruiser;U.S.S.R.;4 145 631;51,60%;0,68;32 482;1 074;0,82;1,03
Minotaur;10;Cruiser;U.K.;4 078 539;49,20%;0,86;64 019;1 612;3,57;1,46
Bogue (<30.01.2019);5;Aircraft Carrier;U.S.A.;4 028 535;48,72%;0,53;27 391;886;13,27;1,2
Langley (<30.01.2019);4;Aircraft Carrier;U.S.A.;3 943 962;48,74%;0,58;27 160;694;9,94;1,26
Edinburgh;8;Cruiser;U.K.;3 755 211;50,96%;0,66;39 570;1 337;1,52;1,1
